Date,Closing Price
2014-10-31,1200.00
2014-11-30,1170.00
2014-12-31,1200.00
2015-01-31,1280.00
2015-02-28,1210.00
2015-03-31,1180.00
2015-04-30,1180.00
2015-05-31,1180.00
2015-06-30,1170.00
2015-07-31,1090.00
2015-08-31,1130.00
2015-09-30,1110.00
2015-10-31,1140.00
2015-11-30,1060.00
2015-12-31,1060.00
2016-01-31,1110.00
2016-02-29,1220.00
2016-03-31,1220.00
2016-04-30,1270.00
2016-05-31,1220.00
2016-06-30,1320.00
2016-07-31,1340.00
2016-08-31,1310.00
2016-09-30,1310.00
2016-10-31,1280.00
2016-11-30,1180.00
2016-12-31,1150.00
2017-01-31,1200.00
2017-02-28,1240.00
2017-03-31,1250.00
2017-04-30,1260.00
2017-05-31,1260.00
2017-06-30,1240.00
2017-07-31,1270.00
2017-08-31,1300.00
2017-09-30,1280.00
2017-10-31,1270.00
2017-11-30,1290.00
2017-12-31,1300.00
2018-01-31,1340.00
2018-02-28,1330.00
2018-03-31,1330.00
2018-04-30,1310.00
2018-05-31,1300.00
2018-06-30,1250.00
2018-07-31,1220.00
2018-08-31,1200.00
2018-09-30,1190.00
2018-10-31,1230.00
2018-11-30,1220.00
2018-12-31,1280.00
2019-01-31,1320.00
2019-02-28,1310.00
2019-03-31,1290.00
2019-04-30,1280.00
2019-05-31,1280.00
2019-06-30,1410.00
2019-07-31,1420.00
2019-08-31,1520.00
2019-09-30,1500.00
2019-10-31,1500.00
2019-11-30,1470.00
2019-12-31,1520.00
2020-01-31,1580.00
2020-02-29,1600.00
2020-03-31,1610.00
2020-04-30,1700.00
2020-05-31,1720.00
2020-06-30,1770.00
2020-07-31,1970.00
2020-08-31,1970.00
2020-09-30,1900.00
2020-10-31,1880.00
2020-11-30,1780.00
2020-12-31,1890.00
2021-01-31,1860.00
2021-02-28,1740.00
2021-03-31,1700.00
2021-04-30,1770.00
2021-05-31,1900.00
2021-06-30,1760.00
2021-07-31,1810.00
2021-08-31,1810.00
2021-09-30,1760.00
2021-10-31,1780.00
2021-11-30,1780.00
2021-12-31,1820.00
2022-01-31,1790.00
2022-02-28,1900.00
2022-03-31,1930.00
2022-04-30,1890.00
2022-05-31,1850.00
2022-06-30,1800.00
2022-07-31,1770.00
2022-08-31,1720.00
2022-09-30,1660.00
2022-10-31,1650.00
2022-11-30,1760.00
2022-12-31,1820.00
2023-01-31,1920.00
2023-02-28,1830.00
2023-03-31,1970.00
2023-04-30,2000.00
2023-05-31,1980.00
2023-06-30,1920.00
2023-07-31,1970.00
2023-08-31,1940.00
2023-09-30,1860.00
2023-10-31,1980.00
2023-11-30,2040.00
2023-12-31,2063.00
2024-01-31,2039.00
2024-02-29,2043.24
2024-03-31,2232.38
2024-04-30,2284.57
2024-05-31,2326.97
2024-06-30,2324.98
2024-07-31,2448.10
2024-08-31,2503.03
2024-09-30,2656.35
2024-10-31,2600.00
2024-11-30,2700.00
2024-12-31,2750.00
2025-01-31,2798.00
2025-02-28,2858.00
2025-03-31,3123.00
2025-04-30,3289.00
2025-05-31,3290.00
2025-06-30,3320.00
2025-07-01,3338.18
